id_plano_busca;id_indicador;nome_indicador;papel_indicador;lacuna_informacional;pergunta_principal;perguntas_secundarias;fonte_prioritaria;fontes_alternativas;metodo_coleta;tipo_coleta;endpoint_ou_url_base;parametros_busca_sugeridos;campos_a_extrair;unidade_esperada;normalizacao_requerida;regra_conferencia;criterio_aceitacao;status_inicial;prioridade_busca;arquivo_destino_dados;arquivo_destino_evidencias;observacoes
QRY_GAP_AGRO_05;GAP_AGRO_05;Adoção de boas práticas agrícolas e de coleta;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Adoção de boas práticas agrícolas e de coleta' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_WHO_GACP;"SRC_IFC_AGRONEGOCIO; SRC_RENASEM; SRC_EVIDENCE_REGISTRY";busca bibliográfica, diagnóstico de campo, checklist técnico e conferência por espécie;literatura_campo;bases bibliográficas, documentos técnicos, diagnóstico local e registros de viveiro;"espécie candidata; município; sistema de cultivo ou extrativismo; ciclo; produtividade; perdas; material propagativo";"espécie; produto; valor; unidade; ciclo; área; produção; método; fonte; limitação";escore 0-100;"por fornecedor; por espécie; por território; por safra";"exigir espécie identificada; unidade agronômica válida; método de coleta explícito; separar cultivo de extrativismo";dado com espécie, unidade, período e método ou lacuna justificada para pesquisa de campo;planejado;alta;qualidade_laboratorios_regulatorio.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_AGRO_06;GAP_AGRO_06;Sazonalidade e ciclo produtivo por espécie;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Sazonalidade e ciclo produtivo por espécie' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_CAMPO_LITERATURA;"SRC_IFC_AGRONEGOCIO; SRC_RENASEM; SRC_EVIDENCE_REGISTRY";busca bibliográfica, diagnóstico de campo, checklist técnico e conferência por espécie;literatura_campo;bases bibliográficas, documentos técnicos, diagnóstico local e registros de viveiro;"espécie candidata; município; sistema de cultivo ou extrativismo; ciclo; produtividade; perdas; material propagativo";"espécie; produto; valor; unidade; ciclo; área; produção; método; fonte; limitação";meses;"por espécie; por espécie; por território; por safra";"exigir espécie identificada; unidade agronômica válida; método de coleta explícito; separar cultivo de extrativismo";dado com espécie, unidade, período e método ou lacuna justificada para pesquisa de campo;planejado;média;selecao_especies.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_AGRO_07;GAP_AGRO_07;Risco de domesticação ou manejo insuficiente;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Risco de domesticação ou manejo insuficiente' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_CAMPO_LITERATURA;"SRC_IFC_AGRONEGOCIO; SRC_RENASEM; SRC_EVIDENCE_REGISTRY";busca bibliográfica, diagnóstico de campo, checklist técnico e conferência por espécie;literatura_campo;bases bibliográficas, documentos técnicos, diagnóstico local e registros de viveiro;"espécie candidata; município; sistema de cultivo ou extrativismo; ciclo; produtividade; perdas; material propagativo";"espécie; produto; valor; unidade; ciclo; área; produção; método; fonte; limitação";escore 0-100;"por espécie; por espécie; por território; por safra";"exigir espécie identificada; unidade agronômica válida; método de coleta explícito; separar cultivo de extrativismo";dado com espécie, unidade, período e método ou lacuna justificada para pesquisa de campo;planejado;alta;selecao_especies.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_AGRO_08;GAP_AGRO_08;Disponibilidade de área cultivável ou manejável;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Disponibilidade de área cultivável ou manejável' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_CAMPO_LITERATURA;"SRC_IFC_AGRONEGOCIO; SRC_RENASEM; SRC_EVIDENCE_REGISTRY";busca bibliográfica, diagnóstico de campo, checklist técnico e conferência por espécie;literatura_campo;bases bibliográficas, documentos técnicos, diagnóstico local e registros de viveiro;"espécie candidata; município; sistema de cultivo ou extrativismo; ciclo; produtividade; perdas; material propagativo";"espécie; produto; valor; unidade; ciclo; área; produção; método; fonte; limitação";hectare;"por município; por espécie; por território; por safra";"exigir espécie identificada; unidade agronômica válida; método de coleta explícito; separar cultivo de extrativismo";dado com espécie, unidade, período e método ou lacuna justificada para pesquisa de campo;planejado;média;linha_base_territorios.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_QUAL_01;GAP_QUAL_01;Capacidade instalada de secagem;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Capacidade instalada de secagem' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_IFC_MANUFATURA;"SRC_ANVISA_MS; SRC_LABS; SRC_ORCAMENTO_CAMPO; SRC_EVIDENCE_REGISTRY";levantamento de capacidade instalada, orçamento técnico, consulta a laboratórios e leitura regulatória;documental_cotacao_campo;documentos de orçamento, escopos laboratoriais, propostas, normas e diagnóstico industrial;"produto; espécie; tipo de ensaio; capacidade kg/dia ou L/dia; lote; laboratório; município";"capacidade; unidade; equipamento; custo; laudo; escopo; tempo; produto; fonte";kg/dia;por unidade;"conferir unidade técnica; diferenciar capacidade nominal e operacional; registrar laudo/cotação quando existir";capacidade, custo ou conformidade com fonte identificada e aplicável ao produto;planejado;alta;qualidade_laboratorios_regulatorio.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_QUAL_02;GAP_QUAL_02;Capacidade instalada de beneficiamento ou processamento;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Capacidade instalada de beneficiamento ou processamento' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_IFC_MANUFATURA;"SRC_ANVISA_MS; SRC_LABS; SRC_ORCAMENTO_CAMPO; SRC_EVIDENCE_REGISTRY";levantamento de capacidade instalada, orçamento técnico, consulta a laboratórios e leitura regulatória;documental_cotacao_campo;documentos de orçamento, escopos laboratoriais, propostas, normas e diagnóstico industrial;"produto; espécie; tipo de ensaio; capacidade kg/dia ou L/dia; lote; laboratório; município";"capacidade; unidade; equipamento; custo; laudo; escopo; tempo; produto; fonte";kg/dia ou L/dia;por unidade;"conferir unidade técnica; diferenciar capacidade nominal e operacional; registrar laudo/cotação quando existir";capacidade, custo ou conformidade com fonte identificada e aplicável ao produto;planejado;alta;qualidade_laboratorios_regulatorio.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_QUAL_03;GAP_QUAL_03;Laboratórios qualificados disponíveis;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Laboratórios qualificados disponíveis' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_IFC_MANUFATURA;"SRC_ANVISA_MS; SRC_LABS; SRC_ORCAMENTO_CAMPO; SRC_EVIDENCE_REGISTRY";levantamento de capacidade instalada, orçamento técnico, consulta a laboratórios e leitura regulatória;documental_cotacao_campo;documentos de orçamento, escopos laboratoriais, propostas, normas e diagnóstico industrial;"produto; espécie; tipo de ensaio; capacidade kg/dia ou L/dia; lote; laboratório; município";"capacidade; unidade; equipamento; custo; laudo; escopo; tempo; produto; fonte";número;por território;"conferir unidade técnica; diferenciar capacidade nominal e operacional; registrar laudo/cotação quando existir";capacidade, custo ou conformidade com fonte identificada e aplicável ao produto;planejado;alta;qualidade_laboratorios_regulatorio.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_QUAL_04;GAP_QUAL_04;Lotes com laudo analítico na linha de base;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Lotes com laudo analítico na linha de base' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_IFC_MANUFATURA;"SRC_ANVISA_MS; SRC_LABS; SRC_ORCAMENTO_CAMPO; SRC_EVIDENCE_REGISTRY";levantamento de capacidade instalada, orçamento técnico, consulta a laboratórios e leitura regulatória;documental_cotacao_campo;documentos de orçamento, escopos laboratoriais, propostas, normas e diagnóstico industrial;"produto; espécie; tipo de ensaio; capacidade kg/dia ou L/dia; lote; laboratório; município";"capacidade; unidade; equipamento; custo; laudo; escopo; tempo; produto; fonte";%;por lote;"conferir unidade técnica; diferenciar capacidade nominal e operacional; registrar laudo/cotação quando existir";capacidade, custo ou conformidade com fonte identificada e aplicável ao produto;planejado;alta;qualidade_laboratorios_regulatorio.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_QUAL_05;GAP_QUAL_05;Conformidade com especificação técnica;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Conformidade com especificação técnica' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_IFC_MANUFATURA;"SRC_ANVISA_MS; SRC_LABS; SRC_ORCAMENTO_CAMPO; SRC_EVIDENCE_REGISTRY";levantamento de capacidade instalada, orçamento técnico, consulta a laboratórios e leitura regulatória;documental_cotacao_campo;documentos de orçamento, escopos laboratoriais, propostas, normas e diagnóstico industrial;"produto; espécie; tipo de ensaio; capacidade kg/dia ou L/dia; lote; laboratório; município";"capacidade; unidade; equipamento; custo; laudo; escopo; tempo; produto; fonte";%;por lote;"conferir unidade técnica; diferenciar capacidade nominal e operacional; registrar laudo/cotação quando existir";capacidade, custo ou conformidade com fonte identificada e aplicável ao produto;planejado;alta;qualidade_laboratorios_regulatorio.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_QUAL_06;GAP_QUAL_06;Protocolos técnicos por espécie ou produto;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Protocolos técnicos por espécie ou produto' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_IFC_MANUFATURA;"SRC_ANVISA_MS; SRC_LABS; SRC_ORCAMENTO_CAMPO; SRC_EVIDENCE_REGISTRY";levantamento de capacidade instalada, orçamento técnico, consulta a laboratórios e leitura regulatória;documental_cotacao_campo;documentos de orçamento, escopos laboratoriais, propostas, normas e diagnóstico industrial;"produto; espécie; tipo de ensaio; capacidade kg/dia ou L/dia; lote; laboratório; município";"capacidade; unidade; equipamento; custo; laudo; escopo; tempo; produto; fonte";número;por espécie/produto;"conferir unidade técnica; diferenciar capacidade nominal e operacional; registrar laudo/cotação quando existir";capacidade, custo ou conformidade com fonte identificada e aplicável ao produto;planejado;alta;rotas_produtos.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_QUAL_07;GAP_QUAL_07;Produtos com rota regulatória definida;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Produtos com rota regulatória definida' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_IFC_MANUFATURA;"SRC_ANVISA_MS; SRC_LABS; SRC_ORCAMENTO_CAMPO; SRC_EVIDENCE_REGISTRY";levantamento de capacidade instalada, orçamento técnico, consulta a laboratórios e leitura regulatória;documental_cotacao_campo;documentos de orçamento, escopos laboratoriais, propostas, normas e diagnóstico industrial;"produto; espécie; tipo de ensaio; capacidade kg/dia ou L/dia; lote; laboratório; município";"capacidade; unidade; equipamento; custo; laudo; escopo; tempo; produto; fonte";número;por produto;"conferir unidade técnica; diferenciar capacidade nominal e operacional; registrar laudo/cotação quando existir";capacidade, custo ou conformidade com fonte identificada e aplicável ao produto;planejado;alta;rotas_produtos.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_MERC_01;GAP_MERC_01;Demanda potencial do SUS e de Farmácias Vivas;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Demanda potencial do SUS e de Farmácias Vivas' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_MERCADO_CAMPO;"SRC_COMEX_STAT; SRC_MS_FITOTERAPICOS_SUS; SRC_MS_FARMACIA_VIVA; SRC_EVIDENCE_REGISTRY";consulta a comércio exterior, demanda SUS/Farmácia Viva, pesquisa de mercado e contratos;api_mercado;"Comex Stat API; documentos de compras públicas; pesquisa de demanda B2B/B2C";"NCM/SH; produto; país; ano; importação/exportação; valor FOB; peso líquido; comprador; canal";"produto; NCM/SH; valor; quantidade; peso; preço médio; ano; país; canal; comprador";R$/ano ou unidades/ano;"por município; R$/kg; US$/kg; por produto; por canal";"conferir NCM/SH; calcular preço médio; separar produto equivalente de produto exato; registrar limitação de classificação";"série ou valor com NCM/SH, ano, unidade e fonte; se proxy, marcar como proxy";planejado;alta;demanda_mercado.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_MERC_02;GAP_MERC_02;Demanda potencial B2B industrial;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Demanda potencial B2B industrial' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_MERCADO_CAMPO;"SRC_COMEX_STAT; SRC_MS_FITOTERAPICOS_SUS; SRC_MS_FARMACIA_VIVA; SRC_EVIDENCE_REGISTRY";consulta a comércio exterior, demanda SUS/Farmácia Viva, pesquisa de mercado e contratos;api_mercado;"Comex Stat API; documentos de compras públicas; pesquisa de demanda B2B/B2C";"NCM/SH; produto; país; ano; importação/exportação; valor FOB; peso líquido; comprador; canal";"produto; NCM/SH; valor; quantidade; peso; preço médio; ano; país; canal; comprador";kg/ano ou R$/ano;"por produto; R$/kg; US$/kg; por produto; por canal";"conferir NCM/SH; calcular preço médio; separar produto equivalente de produto exato; registrar limitação de classificação";"série ou valor com NCM/SH, ano, unidade e fonte; se proxy, marcar como proxy";planejado;alta;demanda_mercado.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
